2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	9	9	9	2	2	2	2
2	2	2	2	21	21	21	2	2	2	2
2	2	2	2	43	43	43	2	2	2	2
2	2	2	2	81	81	81	2	2	2	2
2	2	2	2	161	161	161	2	2	2	2
2	2	2	2	119	119	119	2	2	2	2
2	2	2	2	62	62	62	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	32	62	108	79	41	3	3	3	3	3
3	32	62	108	79	41	3	3	3	3	3
3	32	62	108	79	41	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
0	0	0	0	0	0	0	0	0	0	0
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	30	39	50	58	69	86	111	79	41	3
3	30	39	50	58	69	86	111	79	41	3
3	30	39	50	58	69	86	111	79	41	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
0	0	0	0	0	0	0	0	0	0	0
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
28	56	81	74	68	64	61	58	51	41	3
28	56	81	74	68	64	61	58	51	41	3
28	56	81	74	68	64	61	58	51	41	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	4	4	4	1	1	1	1
1	1	1	1	15	15	15	1	1	1	1
1	1	1	1	35	35	35	1	1	1	1
1	1	1	1	75	75	75	1	1	1	1
1	1	1	1	172	172	172	1	1	1	1
1	1	1	1	129	129	129	1	1	1	1
1	1	1	1	69	69	69	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
3	3	3	3	36	36	36	3	3	3	3
3	3	3	3	72	72	72	3	3	3	3
3	3	3	3	102	102	102	3	3	3	3
3	3	3	3	80	80	80	3	3	3	3
3	3	3	3	53	53	53	3	3	3	3
3	3	3	3	33	33	33	3	3	3	3
3	3	3	3	3	3	3	3	3	3	3
2	2	2	2	2	2	2	2	2	2	2
0	0	0	0	103	103	103	0	0	0	0
0	0	0	0	175	175	175	0	0	0	0
0	0	0	0	219	219	219	0	0	0	0
0	0	0	0	35	35	35	0	0	0	0
0	0	0	0	6	6	6	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
2	2	2	2	2	2	2	2	2	2	2
1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
1	29	140	140	77	1	1	1	1	1	1
